1000 9998
749 647 1
77 782 2
750 177 2
520 440 3
633 799 1
635 902 1
393 871 3
999 213 1
637 230 2
332 186 1
42 682 3
847 777 2
253 765 1
539 880 3
554 270 3
941 783 2
676 358 2
835 609 2
882 57 1
778 932 2
149 867 1
696 230 1
74 612 2
214 157 2
863 175 1
9 985 2
11 787 3
259 837 1
792 512 2
986 957 1
749 463 1
90 424 1
506 729 2
949 393 2
847 264 1
849 778 2
667 977 2
831 931 1
261 709 1
83 35 2
602 165 2
803 122 1
568 414 1
193 700 1
444 694 2
706 568 1
607 520 2
750 357 1
355 494 1
386 562 3
592 865 1
906 847 2
825 725 1
944 564 2
107 859 1
901 830 1
367 641 1
212 121 1
535 290 2
137 24 2
912 675 2
648 996 1
140 636 1
459 941 2
634 980 1
425 642 2
726 145 3
338 578 1
51 253 2
647 787 1
908 121 3
550 874 2
545 183 2
111 925 2
818 729 1
1000 580 3
493 11 3
133 933 2
948 407 2
159 654 1
635 897 2
107 425 1
682 171 1
257 289 2
552 156 3
692 864 2
454 2 1
693 502 1
439 310 3
405 538 2
553 907 2
813 383 2
456 746 2
429 386 2
211 790 2
794 173 2
829 902 2
939 705 2
242 780 1
340 451 2
970 597 2
282 128 3
38 80 2
332 661 2
693 441 1
932 462 2
579 72 2
197 819 1
884 266 2
200 145 1
637 882 1
372 327 1
440 882 2
922 753 1
726 127 2
91 345 2
664 889 3
246 833 2
242 861 2
792 904 2
546 722 1
685 66 2
576 934 3
952 703 1
144 223 1
371 682 2
680 141 3
130 490 1
304 402 2
449 963 3
246 433 1
366 680 1
168 988 1
949 848 2
146 920 2
575 508 1
863 139 2
110 264 1
601 989 1
743 357 2
206 1000 2
180 912 2
548 423 1
511 339 3
956 570 3
543 224 1
232 215 1
879 31 1
703 485 1
17 294 1
287 148 2
941 578 2
211 113 2
226 844 2
772 326 1
570 871 3
270 740 2
447 504 1
330 762 3
103 409 1
138 402 3
656 173 1
308 425 3
772 484 3
110 837 1
897 716 1
256 464 1
88 786 1
660 547 2
326 117 1
995 113 2
758 441 1
605 657 3
921 283 1
136 551 2
773 9 1
382 55 2
517 499 2
787 784 2
461 563 2
717 933 2
426 591 2
949 270 3
881 809 1
605 609 2
837 505 1
132 585 1
730 146 1
141 67 2
201 787 3
250 584 1
959 522 2
20 946 3
421 602 1
679 921 1
425 763 2
779 830 2
371 985 2
40 350 2
507 176 2
360 133 1
980 988 1
635 968 2
712 67 1
445 143 1
843 922 3
250 835 2
465 375 1
147 429 1
147 551 1
880 535 1
805 595 3
237 44 1
355 834 1
578 224 1
528 639 2
721 807 2
681 164 1
332 373 1
469 790 2
469 314 3
918 102 2
306 926 2
684 865 2
75 496 1
868 935 2
672 580 2
101 212 2
560 266 1
830 620 2
7 202 2
738 455 2
413 448 2
358 128 1
422 907 1
137 737 2
438 178 2
836 503 1
988 73 2
340 652 1
274 767 2
342 5 1
209 711 1
494 93 1
87 953 1
256 490 2
187 227 2
422 458 2
417 830 3
188 713 1
484 387 2
922 129 1
113 3 2
238 713 2
402 80 2
190 119 1
818 263 1
218 176 2
668 223 3
254 5 1
664 11 2
577 386 2
247 332 1
391 721 2
811 304 1
815 348 2
64 756 2
684 187 1
829 22 2
942 477 2
799 707 3
242 95 1
73 630 2
244 84 3
460 60 3
3 359 1
963 938 1
523 738 2
176 881 2
238 286 2
95 618 2
897 168 1
722 163 1
404 114 1
122 937 2
93 712 1
572 845 1
701 809 2
18 392 1
655 700 2
184 687 3
901 475 2
280 954 2
114 271 2
426 953 2
543 130 2
902 464 1
759 894 3
970 784 3
680 300 2
965 748 2
572 559 1
935 381 2
434 26 2
959 70 2
787 474 1
788 372 2
949 535 1
361 447 2
953 323 3
177 685 2
397 984 2
887 184 3
219 272 3
76 531 3
319 861 2
194 385 2
323 92 1
762 976 1
448 30 2
670 342 1
785 35 2
896 71 1
605 450 2
844 406 1
715 934 2
771 513 1
37 310 2
250 693 2
626 601 2
341 773 3
207 521 2
127 26 1
221 787 1
799 253 2
162 86 2
668 118 2
210 3 1
77 539 2
933 703 2
335 850 1
689 748 1
9 989 1
861 809 2
140 755 2
280 259 1
325 838 2
382 480 1
66 284 1
816 724 2
61 481 1
480 982 1
391 742 1
367 726 2
563 742 2
435 183 2
682 690 1
529 94 3
840 800 1
845 403 1
865 870 2
508 607 2
601 92 3
682 504 1
484 960 2
738 151 1
418 194 2
417 624 2
486 722 1
385 461 1
315 341 2
338 300 2
256 646 2
573 934 1
96 698 1
510 57 1
40 717 1
524 114 3
486 895 2
194 501 2
487 934 1
561 232 1
822 333 1
1000 301 2
741 477 3
171 590 1
405 820 2
615 245 2
332 534 1
807 724 3
263 873 1
626 782 2
219 267 3
166 208 3
285 326 1
589 184 2
381 632 1
113 343 1
437 511 2
524 310 2
757 474 3
834 283 3
692 679 1
242 474 1
155 742 1
448 807 1
837 115 1
537 492 1
310 661 3
816 736 2
297 274 1
563 111 2
342 214 1
393 196 1
681 670 1
739 830 2
10 959 1
976 329 1
52 288 1
891 604 1
271 972 1
904 24 1
752 377 1
484 791 1
791 641 1
220 834 2
224 249 2
343 195 1
884 447 1
515 575 2
492 26 1
143 265 2
217 628 1
510 438 1
94 171 2
319 261 2
841 623 2
433 374 1
765 789 2
434 27 3
44 189 1
511 530 2
937 988 1
86 570 2
687 734 1
459 787 2
267 636 1
541 380 1
731 495 1
667 620 2
760 379 2
518 386 2
426 72 1
544 822 1
506 190 1
438 447 2
349 528 2
744 416 1
404 915 1
852 829 2
174 467 2
250 783 1
490 221 2
682 742 1
121 640 3
17 388 1
542 266 1
854 610 1
513 941 1
90 848 2
20 15 1
667 739 1
714 285 2
814 486 1
952 406 2
923 365 3
614 370 2
534 421 2
241 274 2
56 209 1
423 829 2
600 64 2
325 12 2
279 613 1
808 51 1
817 751 1
527 745 2
830 400 2
313 13 1
974 416 2
214 809 1
312 63 1
159 896 2
354 540 1
45 815 2
106 48 2
522 894 2
293 323 3
583 383 1
169 142 2
132 717 1
715 110 3
300 74 2
274 904 1
546 811 2
700 289 2
208 530 3
261 150 1
628 783 1
619 318 1
770 108 2
226 581 2
47 573 1
932 433 1
928 934 3
752 278 1
311 219 2
261 743 1
683 606 3
564 318 2
317 568 1
289 829 2
14 364 2
949 979 1
608 660 1
497 550 2
301 546 1
893 915 1
816 820 2
169 818 1
932 245 1
570 898 1
507 702 3
808 126 1
784 533 1
419 489 2
157 451 1
755 573 3
107 293 2
207 829 1
896 933 1
612 584 1
936 516 2
41 794 2
888 220 1
901 376 1
387 559 2
265 902 2
58 123 2
480 500 3
328 879 1
415 466 2
245 191 3
517 533 3
558 131 1
151 659 1
951 597 1
347 3 1
124 436 3
847 587 2
446 418 1
118 955 3
885 342 1
735 752 2
395 818 1
642 357 3
679 953 3
441 520 2
125 169 1
187 45 1
906 384 1
512 97 1
202 772 1
914 154 1
253 909 1
938 320 1
977 61 2
736 824 1
625 236 1
72 896 1
817 643 2
968 511 2
478 663 2
331 727 2
192 743 2
240 383 1
88 770 2
260 43 1
935 866 3
975 105 2
617 616 2
463 619 1
766 521 2
804 538 1
821 380 2
56 705 1
171 235 1
893 617 2
851 797 1
646 560 1
768 189 2
545 906 2
855 897 1
706 75 2
14 571 2
533 366 1
571 26 2
245 740 2
791 586 2
600 869 2
285 519 2
26 929 1
768 686 2
775 963 1
342 464 1
17 133 2
391 544 2
689 321 1
299 155 1
24 158 1
307 310 2
333 230 2
277 485 2
125 799 1
732 205 2
671 438 2
784 139 2
167 947 2
433 663 1
386 413 1
48 488 1
274 234 1
672 446 2
610 578 2
281 78 2
945 622 2
517 48 2
663 412 2
950 335 1
904 797 1
152 716 2
894 863 2
32 621 1
146 197 2
633 456 1
780 968 2
417 83 2
879 56 1
790 750 1
64 281 1
911 393 2
848 215 1
639 111 3
254 170 2
526 170 2
549 223 2
686 869 1
844 97 1
359 133 2
455 761 1
969 894 1
37 765 1
738 517 2
611 43 1
94 177 1
464 588 1
960 625 1
150 30 3
37 864 1
242 746 1
130 817 1
129 80 2
214 283 3
782 160 2
643 362 1
516 931 2
69 762 1
803 262 2
583 523 2
956 533 3
735 315 2
238 128 2
524 266 1
176 86 2
386 159 1
77 89 1
955 279 1
199 433 2
661 773 2
1 406 1
400 403 2
469 388 2
110 494 2
230 19 2
586 326 2
334 989 2
262 654 1
959 801 1
952 218 1
182 987 2
671 277 1
130 151 1
321 893 2
482 519 1
261 672 2
908 480 1
863 18 1
23 844 1
965 627 2
60 65 2
289 741 1
459 153 2
392 296 1
839 796 1
898 723 2
201 280 1
165 242 2
620 7 3
819 93 1
620 360 1
690 915 1
342 413 1
412 7 1
680 197 2
749 903 3
468 623 1
978 155 1
91 807 1
879 609 1
51 935 1
262 909 1
753 390 2
59 664 1
254 210 2
851 862 2
384 617 2
169 924 2
829 69 1
340 930 1
108 343 2
569 530 1
440 714 1
111 256 3
75 964 2
481 640 1
863 296 1
21 270 1
697 995 1
857 102 2
382 888 2
217 384 2
338 28 1
50 565 1
192 321 1
287 165 2
976 501 2
126 606 2
884 296 1
649 84 1
454 648 1
212 857 1
88 316 2
564 999 1
521 99 2
336 281 1
756 511 1
740 405 2
510 456 2
119 40 2
911 651 1
21 614 2
570 951 2
602 254 1
896 292 3
144 263 1
145 667 1
273 36 2
194 778 2
194 463 1
575 617 2
730 265 1
883 987 1
606 583 1
869 496 1
269 326 1
172 7 2
613 38 1
87 267 1
996 649 1
264 212 1
492 895 3
612 857 2
62 508 2
830 67 2
788 799 1
923 691 2
664 252 1
654 348 1
93 153 2
533 760 2
74 884 2
159 118 1
994 684 2
16 399 2
217 368 1
995 411 1
728 329 2
732 118 1
342 435 1
927 758 2
24 838 1
633 202 1
646 919 3
907 62 2
667 2 1
376 390 2
627 874 3
525 231 2
489 532 2
806 207 1
681 557 1
498 881 1
439 905 2
367 538 2
257 263 2
459 293 3
915 830 1
836 538 1
932 190 1
830 535 1
762 765 1
48 525 1
280 993 1
75 57 1
185 335 3
715 301 1
955 395 2
664 782 1
792 635 1
321 412 2
175 182 2
990 783 1
957 62 1
839 682 1
538 874 2
479 9 1
837 732 1
128 563 2
659 708 1
488 602 2
787 80 2
390 118 1
857 901 1
379 157 1
5 390 1
601 427 1
924 691 1
433 459 2
458 599 1
276 247 2
548 77 1
472 175 2
754 313 2
884 210 1
80 810 1
216 374 2
448 173 2
511 990 1
599 256 1
967 133 2
491 478 1
467 911 2
284 420 1
487 826 1
321 915 3
989 362 1
804 617 2
197 249 1
219 11 3
91 645 3
286 865 2
120 291 2
446 948 1
676 699 2
930 254 2
392 650 1
495 926 1
667 890 2
241 79 1
798 751 2
192 596 1
146 562 2
333 82 2
300 860 2
735 661 2
175 624 1
51 811 3
157 854 1
844 984 2
797 503 1
277 471 2
562 566 2
419 618 2
803 550 2
512 161 2
807 265 1
490 442 3
933 106 2
746 408 2
773 971 1
901 904 2
230 173 1
349 243 1
922 639 3
225 224 2
196 304 2
839 10 2
928 19 2
609 692 2
115 950 3
262 162 2
419 6 2
162 319 2
227 723 1
427 698 1
156 514 2
203 759 1
312 9 1
800 276 1
484 365 1
625 87 1
561 395 1
834 259 2
583 254 2
34 373 2
348 723 3
566 771 2
152 122 2
886 1000 2
366 938 1
685 441 2
691 938 1
949 635 1
385 740 3
470 250 1
230 964 1
4 614 2
782 442 1
873 709 1
98 476 1
991 304 2
838 928 1
652 755 1
646 15 3
627 679 2
288 741 2
852 227 1
841 216 2
441 748 2
584 460 2
811 781 1
858 293 3
794 843 1
521 584 2
682 236 2
108 903 2
208 843 2
945 96 2
457 767 2
568 131 1
164 532 1
832 665 2
623 591 2
256 233 2
664 980 3
925 186 2
709 136 2
972 905 2
483 266 2
914 830 3
142 983 1
748 692 3
119 179 3
767 84 1
740 654 2
407 332 1
387 228 2
985 522 1
607 19 2
640 201 1
492 122 2
392 234 1
35 86 2
712 664 2
967 518 2
986 616 1
70 898 1
944 768 2
223 118 1
621 252 1
413 86 1
945 600 1
20 253 1
151 155 2
185 991 3
199 388 1
186 427 1
7 3 1
829 296 1
942 485 1
583 227 2
630 923 1
1 159 1
234 845 1
143 767 2
617 520 1
425 544 2
232 204 2
117 829 2
774 586 1
164 34 1
344 687 3
44 959 2
291 923 1
503 442 3
480 518 1
480 393 2
731 631 3
969 616 2
498 485 2
497 254 1
97 673 2
161 891 1
251 216 1
319 604 2
107 745 2
678 65 1
235 632 2
322 815 2
656 462 1
810 614 1
15 384 1
249 791 1
993 828 2
531 512 1
313 346 1
253 796 1
228 239 1
692 194 2
635 222 1
387 475 1
627 572 1
853 215 1
69 315 1
351 678 2
678 553 1
962 865 1
831 457 2
329 223 2
505 448 1
135 847 3
484 456 2
941 984 2
804 683 2
640 644 3
630 685 1
940 639 1
876 322 1
230 823 2
436 520 3
574 457 2
374 576 2
257 674 2
909 923 1
130 378 3
87 845 1
550 77 1
758 189 2
396 423 1
52 399 2
55 758 1
720 837 3
733 826 2
750 628 2
389 605 1
772 532 1
216 41 1
490 402 2
655 137 2
832 27 1
499 545 1
869 836 1
97 181 2
118 81 1
379 361 2
968 288 1
37 735 2
125 688 1
189 46 2
157 547 2
678 629 1
726 702 2
417 422 1
229 538 2
778 236 2
918 163 1
272 627 1
93 423 2
28 153 2
959 197 2
551 116 1
506 189 1
589 99 1
949 735 3
716 712 1
284 214 1
63 622 1
36 793 2
640 688 1
443 158 1
965 65 1
513 327 1
532 283 2
659 440 1
200 202 1
452 702 1
843 629 3
922 832 2
583 71 2
783 325 2
53 228 1
737 490 1
602 354 3
892 665 1
736 299 2
453 841 2
181 591 2
309 579 2
788 358 1
171 746 2
75 746 1
986 285 2
485 1 1
683 331 3
438 168 2
507 603 3
344 372 1
915 333 1
645 244 1
689 902 1
218 693 1
578 566 1
87 656 1
961 554 2
766 819 1
822 250 1
862 498 2
118 877 2
317 921 2
99 553 3
587 992 2
554 813 1
554 851 1
532 453 1
475 789 2
700 921 2
692 749 3
973 435 1
914 244 2
905 88 1
455 737 2
221 79 2
556 474 1
6 777 2
624 865 2
172 874 1
156 174 1
89 969 3
740 576 1
920 857 1
965 315 2
255 753 2
13 187 1
324 678 2
110 474 1
760 663 1
363 37 1
466 143 1
119 540 2
156 712 3
926 813 2
988 39 1
631 487 1
345 926 1
201 387 1
441 370 3
403 964 1
389 953 1
477 38 3
506 527 1
476 771 2
831 440 2
295 369 1
858 262 2
620 437 1
91 690 2
996 712 1
409 338 1
353 731 1
341 253 3
139 723 1
74 706 1
823 117 1
739 490 1
346 813 1
667 37 2
377 617 1
731 887 3
610 617 2
93 780 2
785 793 1
750 84 1
815 291 1
648 564 2
156 377 1
319 125 2
240 895 1
717 994 2
773 276 3
989 640 2
780 606 2
664 618 2
945 709 2
2 67 2
928 216 2
851 395 1
537 867 2
47 365 2
6 688 1
260 592 1
989 918 1
616 342 2
104 522 1
451 562 1
928 826 3
565 886 3
993 699 2
523 828 1
799 791 2
336 976 1
166 293 3
981 949 1
166 430 1
666 193 2
920 514 1
631 335 2
543 764 2
542 708 2
28 826 2
90 52 2
685 724 2
474 598 1
633 395 1
636 43 2
186 815 2
807 381 1
429 402 2
75 21 2
867 702 1
647 120 2
843 99 2
688 547 2
659 973 1
376 330 1
162 717 1
155 669 2
714 659 1
506 546 3
972 214 2
103 217 2
629 439 1
420 874 3
542 51 1
405 653 2
261 584 1
786 342 1
574 770 2
958 872 2
326 508 2
145 281 1
76 724 1
738 152 2
752 630 1
730 530 1
575 10 2
805 124 2
788 13 1
361 913 2
455 59 2
351 526 1
679 248 3
494 251 2
954 365 2
95 72 2
317 649 2
250 327 1
620 898 2
647 767 2
531 719 1
184 169 1
719 520 1
398 64 2
311 108 1
587 711 1
510 529 3
348 382 3
577 772 1
570 989 1
100 203 1
570 63 2
928 261 2
994 231 3
292 135 1
170 591 2
929 677 1
818 618 3
609 108 1
568 157 3
134 121 1
846 572 1
104 633 3
784 138 1
288 773 2
880 932 2
278 636 1
790 36 1
644 449 2
793 852 1
915 524 1
304 34 1
719 963 1
164 238 2
364 514 2
790 108 2
24 97 1
476 679 1
968 455 1
634 301 3
391 619 2
722 530 2
641 92 3
351 811 2
19 653 2
146 217 2
552 84 2
887 900 2
992 633 3
751 490 2
953 542 3
618 706 1
472 4 3
729 819 1
589 24 3
129 445 2
571 558 2
780 185 1
617 255 1
941 194 1
39 489 1
231 519 2
856 131 1
671 300 1
169 89 1
421 965 1
214 377 3
275 369 1
949 254 2
190 844 1
969 823 2
239 73 2
191 504 1
586 316 1
979 432 2
366 690 1
215 128 1
917 868 2
956 17 3
411 419 2
200 362 1
994 873 2
838 300 2
879 235 3
164 196 1
141 602 1
578 138 2
302 134 1
552 71 3
693 688 1
687 799 2
976 949 1
489 913 1
647 913 1
488 9 1
186 751 1
952 933 1
129 210 1
471 999 1
37 220 1
984 17 2
976 280 1
738 89 2
64 221 2
314 719 1
27 474 2
896 535 1
415 432 2
568 189 2
996 388 2
345 933 2
352 826 1
539 116 1
571 303 1
304 505 2
55 446 1
490 378 1
166 413 1
237 929 1
605 275 1
194 183 2
824 753 2
863 489 2
559 925 2
242 395 2
764 479 1
413 282 2
227 464 2
516 789 1
91 755 1
57 888 2
274 699 2
972 605 2
787 199 3
495 833 2
344 982 1
375 914 2
141 237 3
802 323 1
557 110 1
551 167 3
488 264 1
949 163 2
369 124 2
780 579 2
670 280 2
166 476 1
